,ConvertedAge,BreedRank,AnimalType_Cat,AnimalType_Dog,Female_Female,Female_Male,Female_Unknown,Intact_Intact,Intact_Spayed/Neutered,Intact_Unknown,MixedBreed_Known Breed Combo,MixedBreed_Mixed Breed,MixedBreed_Nonmixed,Named_Named,Named_Unnamed
16128,0.600497592867,-1.73701827261,0,1,0,1,0,0,1,0,0,1,0,1,0
2494,-0.403471617797,0.738260641456,1,0,0,1,0,0,1,0,0,1,0,1,0
19859,-0.651246070428,0.738260641456,1,0,1,0,0,0,1,0,0,1,0,1,0
15557,-0.0688152142423,-1.19245691152,0,1,0,1,0,0,1,0,0,1,0,0,1
14796,-0.0688152142423,-1.73701827261,0,1,1,0,0,0,1,0,0,1,0,1,0
15151,-0.709167371044,-1.73701827261,0,1,1,0,0,0,1,0,0,1,0,0,1
4277,-0.403471617797,-1.19245691152,0,1,0,1,0,0,1,0,0,1,0,1,0
55,-0.731692321283,0.738260641456,1,0,0,1,0,1,0,0,0,1,0,0,1
6735,-0.680206720736,0.0946881237989,0,1,1,0,0,0,1,0,0,1,0,1,0
6955,1.60446680353,-0.00432303276372,0,1,1,0,0,0,1,0,0,1,0,1,0
19177,0.935153996421,-0.845917863546,0,1,1,0,0,0,1,0,0,1,0,1,0
1190,-0.564364119506,0.738260641456,1,0,0,1,0,1,0,0,0,1,0,0,1
14491,-0.680206720736,0.738260641456,1,0,0,1,0,1,0,0,0,1,0,1,0
5512,-0.718820921146,0.738260641456,1,0,1,0,0,1,0,0,0,1,0,0,1
11887,-0.0688152142423,0.738260641456,0,1,0,1,0,0,1,0,0,1,0,1,0
22978,-0.718820921146,0.738260641456,1,0,1,0,0,1,0,0,0,1,0,0,1
1409,-0.403471617797,0.0946881237989,0,1,0,1,0,0,1,0,0,1,0,1,0
8407,0.600497592867,0.738260641456,0,1,1,0,0,0,1,0,0,1,0,1,0
4736,0.600497592867,-0.499378815577,0,1,0,1,0,0,1,0,0,1,0,1,0
15052,-0.50644281889,0.738260641456,1,0,0,1,0,0,1,0,0,1,0,0,1
330,-0.725256621215,0.738260641456,1,0,0,0,1,0,0,1,0,1,0,0,1
4892,1.26981039998,0.738260641456,0,1,0,1,0,0,1,0,0,1,0,1,0
1319,-0.403471617797,0.738260641456,1,0,0,1,0,1,0,0,0,1,0,0,1
6201,-0.403471617797,-1.73701827261,0,1,0,1,0,0,1,0,0,1,0,1,0
3671,-0.593324769813,-1.19245691152,0,1,1,0,0,0,1,0,0,0,1,1,0
23880,-0.680206720736,0.738260641456,1,0,0,1,0,0,1,0,0,1,0,1,0
9944,-0.50644281889,-0.59838997214,0,1,1,0,0,0,1,0,0,1,0,1,0
17839,-0.0688152142423,-1.19245691152,0,1,1,0,0,0,1,0,0,1,0,1,0
276,-0.448521518275,-0.59838997214,0,1,0,1,0,0,1,0,0,1,0,1,0
7806,-0.651246070428,0.738260641456,1,0,1,0,0,0,1,0,0,1,0,1,0
25026,0.265841189312,-0.59838997214,0,1,0,1,0,1,0,0,0,1,0,1,0
838,0.600497592867,0.738260641456,1,0,0,1,0,0,1,0,0,1,0,0,1
10400,-0.403471617797,-1.31622085722,0,1,1,0,0,0,1,0,1,0,0,1,0
10958,0.265841189312,-0.99443459839,0,1,1,0,0,0,1,0,1,0,0,1,0
17226,-0.622285420121,0.738260641456,0,1,0,1,0,1,0,0,0,1,0,0,1
20827,-0.725256621215,0.738260641456,1,0,0,0,1,0,0,1,0,1,0,0,1
18585,-0.0688152142423,0.738260641456,0,1,0,1,0,0,1,0,0,1,0,1,0
26282,1.93912320708,0.738260641456,1,0,0,1,0,0,1,0,0,1,0,0,1
7192,-0.680206720736,-1.19245691152,0,1,0,1,0,0,1,0,0,1,0,1,0
10578,-0.680206720736,0.738260641456,1,0,0,1,0,1,0,0,0,1,0,1,0
19302,-0.477482168583,0.738260641456,0,1,0,1,0,0,1,0,0,1,0,1,0
19164,-0.0688152142423,0.738260641456,0,1,0,1,0,0,1,0,0,1,0,1,0
18529,-0.403471617797,0.738260641456,0,1,1,0,0,0,1,0,0,1,0,1,0
4133,4.28171803197,0.738260641456,1,0,1,0,0,0,1,0,0,1,0,1,0
6897,-0.564364119506,0.738260641456,1,0,1,0,0,0,1,0,0,1,0,1,0
24802,-0.718820921146,0.738260641456,1,0,0,1,0,1,0,0,0,1,0,0,1
25850,-0.0688152142423,0.738260641456,0,1,0,1,0,0,1,0,0,1,0,1,0
574,-0.593324769813,-1.04394017667,0,1,1,0,0,0,1,0,0,1,0,1,0
16368,-0.680206720736,0.738260641456,1,0,0,0,1,0,0,1,0,1,0,0,1
2375,1.26981039998,-1.73701827261,0,1,1,0,0,0,1,0,0,0,1,1,0
16141,1.26981039998,0.738260641456,1,0,0,1,0,0,1,0,0,1,0,0,1
23496,0.265841189312,-1.04394017667,0,1,0,1,0,0,1,0,0,1,0,1,0
12961,-0.680206720736,0.738260641456,1,0,1,0,0,0,1,0,0,1,0,0,1
22670,-0.651246070428,0.738260641456,0,1,1,0,0,0,1,0,0,1,0,1,0
7145,0.600497592867,0.738260641456,0,1,0,1,0,0,1,0,0,1,0,1,0
11440,0.265841189312,0.738260641456,0,1,0,1,0,0,1,0,0,1,0,1,0
11823,0.265841189312,-1.43998480292,0,1,0,1,0,0,1,0,0,1,0,1,0
10146,-0.0688152142423,0.738260641456,0,1,0,1,0,0,1,0,0,1,0,1,0
6092,-0.680206720736,0.738260641456,0,1,0,1,0,0,1,0,0,1,0,1,0
16383,2.27377961064,-1.51424317034,0,1,1,0,0,0,1,0,1,0,0,1,0
1783,-0.680206720736,0.738260641456,1,0,0,1,0,0,1,0,0,1,0,1,0
24784,-0.593324769813,0.738260641456,0,1,1,0,0,1,0,0,0,1,0,1,0
16167,-0.0688152142423,0.738260641456,1,0,1,0,0,1,0,0,0,1,0,0,1
9030,0.600497592867,0.738260641456,0,1,0,1,0,0,1,0,0,1,0,1,0
25246,-0.0688152142423,-1.19245691152,0,1,0,1,0,1,0,0,0,1,0,0,1
15772,-0.738128021351,0.738260641456,1,0,0,1,0,1,0,0,0,1,0,0,1
13655,1.60446680353,0.738260641456,0,1,0,1,0,0,1,0,0,1,0,1,0
4409,-0.680206720736,-1.4894903812,0,1,0,1,0,0,1,0,1,0,0,1,0
11212,-0.680206720736,-1.4894903812,0,1,1,0,0,1,0,0,0,1,0,0,1
10310,-0.403471617797,0.738260641456,0,1,0,1,0,1,0,0,0,1,0,0,1
26323,-0.0688152142423,0.738260641456,1,0,1,0,0,1,0,0,0,1,0,0,1
23452,2.60843601419,-1.39047922464,0,1,1,0,0,1,0,0,0,1,0,1,0
8068,0.265841189312,-1.19245691152,0,1,0,1,0,0,1,0,0,1,0,1,0
17337,0.935153996421,-1.04394017667,0,1,0,1,0,0,1,0,0,1,0,1,0
1524,-0.680206720736,0.738260641456,1,0,1,0,0,0,1,0,0,1,0,1,0
19031,0.935153996421,-1.14295133323,0,1,0,1,0,0,1,0,0,0,1,1,0
5359,-0.403471617797,0.738260641456,1,0,0,1,0,1,0,0,0,1,0,0,1
22748,-0.593324769813,0.738260641456,0,1,1,0,0,0,1,0,0,1,0,1,0
15770,0.265841189312,-1.73701827261,0,1,0,1,0,0,1,0,0,1,0,1,0
19703,0.600497592867,0.738260641456,1,0,0,1,0,0,1,0,0,1,0,1,0
22657,-0.535403469198,0.738260641456,0,1,1,0,0,0,1,0,0,1,0,1,0
23227,-0.403471617797,0.49073275005,0,1,1,0,0,1,0,0,0,0,1,0,1
16129,-0.477482168583,0.738260641456,1,0,0,1,0,0,1,0,0,1,0,1,0
16939,0.935153996421,0.738260641456,1,0,1,0,0,0,1,0,0,1,0,1,0
1511,1.93912320708,0.738260641456,0,1,0,1,0,0,1,0,0,1,0,1,0
10988,0.265841189312,0.738260641456,0,1,1,0,0,0,1,0,0,1,0,1,0
23765,-0.680206720736,0.738260641456,1,0,1,0,0,0,1,0,0,1,0,1,0
20286,-0.403471617797,0.738260641456,0,1,1,0,0,0,1,0,0,1,0,1,0
9169,-0.725256621215,0.738260641456,1,0,0,1,0,1,0,0,0,1,0,1,0
22552,-0.0688152142423,0.738260641456,1,0,0,1,0,0,1,0,0,1,0,0,1
2735,-0.680206720736,-1.19245691152,0,1,0,1,0,0,1,0,1,0,0,1,0
14386,-0.0688152142423,0.738260641456,0,1,1,0,0,1,0,0,1,0,0,0,1
25655,-0.680206720736,0.738260641456,1,0,0,1,0,0,1,0,0,1,0,1,0
19574,-0.651246070428,0.738260641456,1,0,0,0,1,0,0,1,0,1,0,0,1
19629,-0.403471617797,0.738260641456,1,0,1,0,0,0,1,0,0,1,0,1,0
25450,-0.593324769813,0.738260641456,1,0,1,0,0,0,1,0,0,1,0,1,0
16330,-0.403471617797,-1.19245691152,0,1,0,1,0,0,1,0,0,1,0,1,0
22237,-0.0688152142423,0.738260641456,0,1,0,1,0,0,1,0,1,0,0,1,0
21475,0.265841189312,0.738260641456,0,1,0,1,0,0,1,0,0,1,0,1,0
13360,1.93912320708,-1.68751269433,0,1,1,0,0,1,0,0,0,0,1,1,0
7829,-0.477482168583,-1.63800711605,0,1,1,0,0,0,1,0,0,1,0,1,0
12506,-0.0688152142423,0.738260641456,0,1,0,1,0,0,1,0,0,1,0,1,0
21415,2.60843601419,-1.19245691152,0,1,0,1,0,0,1,0,0,0,1,1,0
21329,-0.718820921146,0.738260641456,1,0,1,0,0,1,0,0,0,1,0,0,1
21695,0.265841189312,0.738260641456,1,0,1,0,0,0,1,0,0,1,0,1,0
6579,2.60843601419,-1.19245691152,0,1,1,0,0,0,1,0,0,1,0,1,0
22832,-0.403471617797,0.738260641456,1,0,1,0,0,0,1,0,0,1,0,1,0
20678,-0.680206720736,0.738260641456,0,1,0,1,0,0,1,0,0,1,0,0,1
14397,-0.651246070428,-1.73701827261,0,1,1,0,0,0,1,0,0,1,0,1,0
20274,-0.403471617797,-1.31622085722,0,1,1,0,0,0,1,0,1,0,0,1,0
23799,-0.731692321283,0.738260641456,1,0,0,1,0,1,0,0,0,1,0,0,1
19867,-0.680206720736,0.738260641456,1,0,0,1,0,0,1,0,0,1,0,1,0
12399,-0.403471617797,0.688755063175,0,1,0,1,0,0,1,0,0,1,0,1,0
15856,-0.535403469198,0.738260641456,1,0,1,0,0,1,0,0,0,1,0,0,1
15045,1.26981039998,0.738260641456,0,1,1,0,0,0,1,0,0,1,0,1,0
7517,2.60843601419,-1.4894903812,0,1,1,0,0,0,1,0,1,0,0,1,0
3688,-0.622285420121,0.738260641456,1,0,1,0,0,0,1,0,0,1,0,1,0
1104,1.60446680353,-1.63800711605,0,1,0,1,0,1,0,0,0,0,1,1,0
15820,2.60843601419,0.738260641456,1,0,1,0,0,0,1,0,0,1,0,1,0
6568,-0.564364119506,0.738260641456,1,0,0,1,0,0,1,0,0,1,0,1,0
2289,0.265841189312,-0.499378815577,0,1,0,1,0,0,1,0,0,0,1,1,0
25896,-0.477482168583,0.0946881237989,0,1,1,0,0,0,1,0,0,1,0,1,0
7812,1.26981039998,-1.39047922464,0,1,1,0,0,0,1,0,0,1,0,1,0
10536,-0.477482168583,-1.73701827261,0,1,1,0,0,0,1,0,1,0,0,1,0
7421,1.93912320708,-1.68751269433,0,1,0,1,0,0,1,0,1,0,0,1,0
23788,3.2777488213,0.738260641456,1,0,0,1,0,0,1,0,0,0,1,1,0
9554,-0.712385221078,0.738260641456,1,0,0,1,0,1,0,0,0,1,0,0,1
15775,-0.0688152142423,0.738260641456,0,1,0,1,0,0,1,0,0,1,0,1,0
10059,-0.0688152142423,0.738260641456,0,1,0,1,0,0,1,0,1,0,0,0,1
12796,-0.403471617797,0.738260641456,1,0,0,1,0,1,0,0,0,1,0,0,1
25466,-0.0688152142423,0.738260641456,1,0,0,1,0,1,0,0,0,1,0,0,1
10968,-0.651246070428,0.738260641456,1,0,1,0,0,0,1,0,0,1,0,1,0
3536,0.600497592867,-1.19245691152,0,1,1,0,0,0,1,0,0,1,0,1,0
2268,-0.0688152142423,-1.73701827261,0,1,0,1,0,0,1,0,0,1,0,1,0
24897,-0.403471617797,-1.63800711605,0,1,0,1,0,1,0,0,0,1,0,1,0
6491,2.27377961064,-1.04394017667,0,1,1,0,0,0,1,0,0,1,0,1,0
6160,-0.680206720736,-1.19245691152,0,1,1,0,0,1,0,0,0,1,0,0,1
10472,-0.712385221078,0.738260641456,1,0,0,1,0,1,0,0,0,1,0,0,1
11594,-0.403471617797,-1.58850153777,0,1,0,1,0,0,1,0,1,0,0,1,0
8430,-0.651246070428,0.738260641456,1,0,1,0,0,1,0,0,0,1,0,0,1
17211,-0.709167371044,0.738260641456,1,0,0,1,0,1,0,0,0,1,0,1,0
3999,-0.0688152142423,-1.63800711605,0,1,1,0,0,0,1,0,0,1,0,1,0
21424,-0.419560867968,-1.4894903812,0,1,1,0,0,0,1,0,1,0,0,1,0
4993,-0.50644281889,0.738260641456,0,1,1,0,0,0,1,0,0,1,0,1,0
13935,1.26981039998,0.738260641456,1,0,1,0,0,0,1,0,0,0,1,1,0
23855,1.93912320708,0.738260641456,1,0,0,1,0,0,1,0,0,1,0,1,0
712,-0.680206720736,0.738260641456,0,1,0,1,0,1,0,0,0,1,0,1,0
15666,0.265841189312,0.738260641456,1,0,0,0,1,0,0,1,0,1,0,0,1
6041,-0.0688152142423,0.738260641456,0,1,0,1,0,0,1,0,0,1,0,1,0
15619,1.93912320708,-1.53899595949,0,1,0,1,0,0,1,0,0,1,0,1,0
8116,-0.403471617797,0.738260641456,1,0,0,0,1,0,0,1,0,1,0,0,1
7290,0.600497592867,-1.43998480292,0,1,1,0,0,0,1,0,0,1,0,1,0
6822,-0.680206720736,0.738260641456,1,0,1,0,0,1,0,0,0,1,0,1,0
6113,-0.403471617797,0.738260641456,0,1,1,0,0,0,1,0,0,1,0,1,0
24960,-0.0688152142423,0.738260641456,1,0,1,0,0,0,1,0,0,1,0,1,0
19607,0.600497592867,-1.73701827261,0,1,0,1,0,0,1,0,1,0,0,1,0
1362,1.93912320708,-0.895423441828,0,1,1,0,0,0,1,0,0,1,0,1,0
4990,1.60446680353,-1.43998480292,0,1,1,0,0,1,0,0,0,1,0,1,0
702,-0.680206720736,0.738260641456,1,0,0,1,0,0,1,0,0,1,0,1,0
25869,-0.718820921146,0.738260641456,1,0,1,0,0,1,0,0,0,1,0,0,1
6988,-0.0688152142423,0.738260641456,1,0,0,1,0,1,0,0,0,1,0,0,1
8533,-0.0688152142423,0.738260641456,0,1,0,1,0,0,1,0,0,1,0,1,0
21875,0.265841189312,-1.19245691152,0,1,0,1,0,0,1,0,0,0,1,1,0
9446,0.600497592867,-1.4894903812,0,1,0,1,0,0,1,0,0,1,0,1,0
24551,-0.651246070428,0.0946881237989,0,1,0,1,0,0,1,0,1,0,0,1,0
15358,-0.403471617797,-1.39047922464,0,1,0,1,0,0,1,0,0,1,0,1,0
24739,1.93912320708,-1.2419624898,0,1,0,1,0,0,1,0,0,1,0,1,0
26346,-0.680206720736,0.738260641456,1,0,1,0,0,0,1,0,0,1,0,1,0
22148,-0.403471617797,0.738260641456,0,1,1,0,0,1,0,0,0,1,0,1,0
11556,-0.651246070428,0.738260641456,0,1,1,0,0,0,1,0,0,1,0,1,0
117,-0.651246070428,-1.19245691152,0,1,0,1,0,1,0,0,0,1,0,1,0
8032,-0.651246070428,0.738260641456,0,1,1,0,0,0,1,0,0,1,0,1,0
9465,-0.718820921146,0.738260641456,1,0,1,0,0,1,0,0,0,1,0,0,1
22765,-0.0688152142423,0.738260641456,1,0,1,0,0,0,1,0,0,1,0,1,0
13712,-0.0688152142423,0.738260641456,1,0,1,0,0,0,1,0,0,1,0,1,0
19712,-0.680206720736,-1.19245691152,0,1,1,0,0,0,1,0,1,0,0,1,0
1486,-0.403471617797,-1.43998480292,0,1,1,0,0,0,1,0,0,1,0,1,0
2158,-0.680206720736,0.738260641456,0,1,0,1,0,0,1,0,0,1,0,1,0
25283,-0.403471617797,-0.59838997214,0,1,0,1,0,0,1,0,0,1,0,1,0
21833,-0.709167371044,0.738260641456,0,1,0,1,0,1,0,0,0,1,0,0,1
10210,-0.0688152142423,0.738260641456,0,1,0,1,0,0,1,0,0,1,0,1,0
3883,-0.535403469198,0.738260641456,1,0,0,1,0,0,1,0,0,1,0,1,0
20815,-0.403471617797,-0.59838997214,0,1,0,1,0,0,1,0,1,0,0,1,0
23693,-0.403471617797,0.738260641456,0,1,1,0,0,1,0,0,0,1,0,1,0
9017,-0.718820921146,0.738260641456,1,0,1,0,0,1,0,0,0,1,0,0,1
14222,-0.680206720736,0.738260641456,1,0,1,0,0,0,1,0,0,1,0,1,0
2685,3.94706162841,-1.43998480292,0,1,0,1,0,0,1,0,0,0,1,1,0
10498,-0.403471617797,0.738260641456,0,1,1,0,0,0,1,0,1,0,0,1,0
13342,-0.0688152142423,0.738260641456,0,1,0,1,0,1,0,0,0,1,0,1,0
16582,-0.403471617797,0.738260641456,1,0,0,1,0,0,1,0,0,1,0,1,0
24311,-0.403471617797,-1.34097364636,0,1,1,0,0,1,0,0,0,0,1,1,0
5812,-0.680206720736,-1.63800711605,0,1,0,1,0,0,1,0,0,1,0,0,1
10228,-0.680206720736,0.738260641456,1,0,0,1,0,0,1,0,0,1,0,1,0
6541,0.265841189312,0.738260641456,1,0,1,0,0,1,0,0,0,1,0,0,1
23923,-0.0688152142423,0.738260641456,0,1,1,0,0,1,0,0,0,1,0,1,0
14810,-0.403471617797,0.738260641456,1,0,0,1,0,1,0,0,0,1,0,0,1
24586,-0.0688152142423,-1.73701827261,0,1,0,1,0,0,1,0,1,0,0,1,0
2808,-0.0688152142423,0.738260641456,0,1,0,1,0,0,1,0,0,1,0,1,0
12554,-0.725256621215,0.738260641456,1,0,0,0,1,0,0,1,0,1,0,0,1
8873,-0.709167371044,0.738260641456,1,0,1,0,0,0,1,0,0,1,0,1,0
20501,-0.0688152142423,0.738260641456,1,0,1,0,0,0,1,0,0,1,0,1,0
21913,0.600497592867,-1.34097364636,0,1,0,1,0,0,1,0,0,1,0,1,0
23525,1.93912320708,-1.34097364636,0,1,0,1,0,1,0,0,0,0,1,1,0
17489,-0.403471617797,0.738260641456,0,1,1,0,0,1,0,0,0,1,0,1,0
15488,-0.718820921146,0.738260641456,1,0,0,0,1,0,0,1,0,1,0,0,1
22371,-0.651246070428,0.738260641456,1,0,0,1,0,0,1,0,0,1,0,1,0
7373,-0.651246070428,0.738260641456,1,0,1,0,0,0,1,0,0,1,0,1,0
19999,-0.651246070428,0.738260641456,1,0,0,0,1,0,0,1,0,1,0,0,1
16948,-0.0688152142423,0.738260641456,0,1,1,0,0,1,0,0,0,1,0,1,0
23811,-0.622285420121,0.738260641456,1,0,1,0,0,1,0,0,0,1,0,0,1
20769,-0.709167371044,0.738260641456,1,0,0,1,0,1,0,0,0,1,0,0,1
2034,-0.680206720736,0.738260641456,1,0,1,0,0,0,1,0,0,1,0,1,0
23293,-0.718820921146,0.738260641456,1,0,0,1,0,1,0,0,0,1,0,0,1
7576,-0.593324769813,0.738260641456,1,0,0,0,1,0,0,1,0,1,0,0,1
8322,0.600497592867,-1.19245691152,0,1,1,0,0,0,1,0,0,1,0,1,0
12743,1.26981039998,-1.19245691152,0,1,0,1,0,0,1,0,0,1,0,1,0
25661,-0.0688152142423,0.738260641456,1,0,1,0,0,1,0,0,0,1,0,0,1
13202,-0.403471617797,0.738260641456,1,0,1,0,0,1,0,0,0,1,0,0,1
8077,-0.0688152142423,0.738260641456,1,0,1,0,0,0,1,0,0,1,0,1,0
4080,-0.0688152142423,-1.19245691152,0,1,0,1,0,0,1,0,1,0,0,1,0
22639,-0.712385221078,0.738260641456,1,0,0,1,0,1,0,0,0,1,0,0,1
17885,-0.0688152142423,0.0946881237989,0,1,1,0,0,0,1,0,0,1,0,1,0
26012,1.26981039998,0.738260641456,1,0,1,0,0,0,1,0,0,1,0,1,0
22042,0.265841189312,-0.499378815577,0,1,0,1,0,0,1,0,0,1,0,1,0
980,-0.709167371044,-1.19245691152,0,1,0,1,0,1,0,0,0,1,0,0,1
12992,1.26981039998,-1.73701827261,0,1,0,1,0,0,1,0,0,1,0,1,0
10412,-0.651246070428,0.738260641456,1,0,1,0,0,0,1,0,0,1,0,1,0
25819,-0.403471617797,0.738260641456,0,1,0,1,0,0,1,0,0,1,0,0,1
2922,-0.651246070428,0.738260641456,1,0,1,0,0,1,0,0,0,1,0,1,0
2556,-0.564364119506,-0.746906706984,0,1,0,1,0,0,1,0,0,1,0,1,0
26527,3.61240522486,-1.73701827261,0,1,1,0,0,0,1,0,0,1,0,1,0
4897,-0.403471617797,-1.73701827261,0,1,0,1,0,0,1,0,1,0,0,1,0
10735,-0.403471617797,-1.19245691152,0,1,1,0,0,0,1,0,0,1,0,1,0
2315,1.26981039998,0.738260641456,0,1,0,1,0,0,1,0,0,1,0,1,0
18384,-0.680206720736,0.738260641456,1,0,1,0,0,0,1,0,0,1,0,0,1
21561,0.935153996421,-1.63800711605,0,1,0,1,0,0,1,0,1,0,0,1,0
8461,-0.403471617797,0.738260641456,1,0,1,0,0,0,1,0,0,1,0,1,0
1630,-0.0688152142423,0.738260641456,1,0,0,1,0,0,1,0,0,1,0,1,0
17183,-0.651246070428,0.738260641456,1,0,1,0,0,0,1,0,0,1,0,0,1
17243,0.600497592867,-1.19245691152,0,1,1,0,0,0,1,0,0,1,0,1,0
13166,-0.403471617797,-1.4894903812,0,1,0,1,0,1,0,0,1,0,0,1,0
16979,-0.680206720736,0.738260641456,1,0,1,0,0,0,1,0,0,1,0,1,0
18112,-0.651246070428,0.738260641456,1,0,0,1,0,1,0,0,0,1,0,0,1
16944,-0.403471617797,0.738260641456,1,0,1,0,0,1,0,0,0,1,0,0,1
9638,-0.0688152142423,-0.647895550421,0,1,0,1,0,0,1,0,0,1,0,1,0
2688,1.26981039998,0.0946881237989,0,1,1,0,0,0,1,0,0,1,0,1,0
9798,-0.680206720736,0.738260641456,1,0,1,0,0,0,1,0,0,1,0,0,1
22303,-0.651246070428,0.738260641456,1,0,0,0,1,0,0,1,0,1,0,0,1
24123,-0.403471617797,0.738260641456,0,1,0,1,0,0,1,0,0,1,0,1,0
17484,-0.680206720736,0.738260641456,1,0,0,1,0,0,1,0,0,1,0,1,0
18423,-0.0688152142423,-0.301356502452,0,1,1,0,0,0,1,0,1,0,0,1,0
5787,0.265841189312,0.738260641456,0,1,0,1,0,0,1,0,0,1,0,1,0
13719,-0.731692321283,-1.73701827261,0,1,1,0,0,1,0,0,0,1,0,0,1
10055,-0.680206720736,0.738260641456,1,0,0,1,0,0,1,0,0,1,0,1,0
1154,-0.680206720736,0.738260641456,1,0,0,1,0,0,1,0,0,1,0,0,1
22252,0.600497592867,-1.31622085722,0,1,1,0,0,1,0,0,1,0,0,1,0
16125,-0.712385221078,0.738260641456,1,0,1,0,0,1,0,0,0,1,0,1,0
11231,-0.709167371044,0.738260641456,1,0,1,0,0,1,0,0,0,1,0,0,1
2396,-0.738128021351,0.738260641456,1,0,0,1,0,1,0,0,0,1,0,0,1
23317,-0.651246070428,-1.19245691152,0,1,0,1,0,0,1,0,0,1,0,0,1
20360,1.26981039998,-1.73701827261,0,1,0,1,0,0,1,0,1,0,0,1,0
10141,1.60446680353,0.738260641456,1,0,1,0,0,0,1,0,0,1,0,1,0
3097,-0.403471617797,0.738260641456,1,0,1,0,0,1,0,0,0,1,0,0,1
9130,1.26981039998,0.738260641456,1,0,0,1,0,0,1,0,0,1,0,1,0
16471,-0.564364119506,0.738260641456,1,0,0,0,1,0,0,1,0,1,0,0,1
3457,2.94309241775,0.243204858643,0,1,0,1,0,0,1,0,0,1,0,1,0
14641,-0.50644281889,-1.43998480292,0,1,1,0,0,0,1,0,0,1,0,0,1
16133,-0.622285420121,-1.43998480292,0,1,1,0,0,1,0,0,0,0,1,0,1
10574,-0.0688152142423,0.738260641456,1,0,1,0,0,0,1,0,0,1,0,1,0
18831,-0.680206720736,0.738260641456,1,0,1,0,0,0,1,0,0,1,0,1,0
20333,0.935153996421,0.738260641456,0,1,1,0,0,0,1,0,0,1,0,1,0
21912,-0.718820921146,0.738260641456,0,1,1,0,0,1,0,0,0,1,0,0,1
16743,-0.622285420121,0.738260641456,1,0,0,1,0,1,0,0,0,1,0,0,1
24501,-0.564364119506,-1.58850153777,0,1,0,1,0,1,0,0,0,1,0,1,0
17346,0.265841189312,0.738260641456,0,1,1,0,0,1,0,0,0,1,0,1,0
18971,-0.403471617797,0.738260641456,1,0,1,0,0,1,0,0,0,1,0,0,1
14206,0.600497592867,0.738260641456,1,0,0,1,0,0,1,0,0,1,0,1,0
6076,-0.718820921146,0.738260641456,1,0,0,0,1,0,0,1,0,1,0,0,1
18269,-0.593324769813,0.738260641456,0,1,0,1,0,0,1,0,0,1,0,1,0
22806,3.61240522486,-0.59838997214,0,1,0,1,0,0,1,0,0,0,1,1,0
8108,-0.403471617797,-0.499378815577,0,1,1,0,0,1,0,0,0,1,0,0,1
25543,-0.680206720736,0.738260641456,1,0,0,1,0,0,1,0,0,1,0,1,0
8405,-0.50644281889,0.738260641456,0,1,0,1,0,1,0,0,0,1,0,1,0
3683,-0.680206720736,0.738260641456,1,0,1,0,0,0,1,0,0,1,0,0,1
24569,-0.738128021351,0.738260641456,0,1,0,1,0,1,0,0,0,1,0,0,1
